念	思
完成	告竣
完成	停工
完成	终了
完成	完竣
完成	完结
完成	实行
完成	达成
完成	结尾
完蛋	垮台
完稿	脱稿
完工	完成
完工	实现
完工	竣工
完好	完备
完好	周备
完好	完竣
完好	全体
完好	无缺
完婚	娶妻
完婚	成婚
完结	完了
完结	终于
完结	终了
完结	收场
完结	终结
完竣	完善
完竣	美满
完竣	圆满
完竣	落成
完了	结局
完了	竣事
完了	结束
完满	美满
完满	完好
完满	完备
完美	完备
完美	完善
完全	全面
完全	齐备
完全	全部
完全	统统
完全	绝对
完善	完满
完整	完好
完整	完备
完整	完全
玩伴	游伴
玩忽	忽视
玩忽	轻视
玩具	玩物
玩弄	摆弄
玩弄	捉弄
玩皮	顽皮
玩赏	观赏
玩赏	赏识
玩耍	顽耍
玩耍	游玩
玩物	玩具
玩笑	打趣
顽恶	刁顽
顽固	固执
顽固	顽强
顽疾	恶疾
顽抗	对抗
顽抗	匹敌
顽劣	恶劣
顽皮	玩皮
顽皮	捣蛋
顽皮	圆滑
顽皮	调皮
顽强	顽固
顽强	刚劲
顽耍	玩耍
宛如	宛若
宛如	好似
宛如	犹如
宛如	恰似
宛若	仿佛
宛若	好似
宛若	犹如
宛若	类似
宛延	辗转
宛转	动听
宛转	美妙
挽回	挽救
挽回	补救
挽回	回旋
挽救	援救
挽救	救济
挽救	解救
挽劝	劝说
晚辈	子弟
晚辈	晚生
晚辈	后辈
晚餐	晚饭
晚点	误点
晚饭	晚餐
晚进	后进
晚景	暮年
晚年	暮年
晚上	黄昏
晚生	晚辈
晚生	后进
晚世	近世
惋惜	体恤
惋惜	惘然
惋惜	怜惜
婉词	婉言
婉言	婉词
婉转	委婉
婉转	隐晦
万般	百般
万分	绝顶
万分	至极
万分	极端
万古	长时
万能	全能
万世	长久
万世	永世
万万	一概
万种	百般
万种	万般
腕表	手表
亡故	牺牲
亡故	毕命
亡故	死灭
亡故	仙游
亡命	逃亡
亡命	流亡
亡命	流落
王八	无赖
王八	乌龟
王道	霸道
王法	国法
王侯	贵爵
王孙	天孙
王谢	望族
王谢	名门
王印	玉玺
网罗	包罗
网罗	征求
网罗	搜索
网罗	收罗
网罗	包括
网络	搜集
网鱼	捕鱼
网鱼	打鱼
枉费	白费
枉费	白搭
枉费	空费
枉费	徒然
枉费	徒劳
枉顾	劳驾
枉驾	屈驾
枉驾	劳驾
枉驾	光驾
往常	昔日
往常	平常
往常	平日
往返	来回
往返	往复
往返	往来
往复	往来
往复	来往
往还	交易
往还	往返
往还	营业
往还	来去
往后	以后
往后	此后
往来	往还
往来	来往
往来	交往
往来	来去
往日	昔日
往日	来日
往时	往日
往时	向日
往时	昔时
往时	曩昔
往时	旧日
往事	旧事
往往	常常
往往	不断
往往	每每
往往	经常
往往	偶尔
往往	不时
往昔	从前
惘然	枉然
惘然	怅然
惘然	怅惘
妄诞	荒诞
妄诞	怪诞
妄念	妄想
妄图	妄想
妄图	企图
妄图	希望
妄图	计划
妄为	放肆
妄想	妄图
妄想	志愿
妄想	妄念
妄想	计算
妄想	希望
妄想	计划
妄想	胡想
妄想	预备
妄言	大话
妄言	妄语
妄言	谎话
妄语	妄言
忘掉	忘记
忘恩	报仇
忘怀	忘记
忘记	忘却
忘记	遗忘
忘记	忘怀
忘却	忘怀
忘我	无私
忘形	失态
忘性	记性
旺盛	壮盛
旺盛	强大
旺盛	昌隆
旺盛	繁盛
旺盛	振奋
旺盛	兴奋
旺盛	强盛
旺盛	焕发
望见	看见
望见	瞟见
望月	满月
望族	名门
望族	朱门
危殆	危险
危殆	紧急
危害	毒害
危害	危险
危害	反对
危害	妨害
危机	紧急
危机	危险
危急	急迫
危急	严峻
危急	危险
危急	火急
危境	险境
危境	危急
危境	险情
危险	告急
危险	凶恶
危险	风险
危险	危机
危崖	绝壁
危崖	峭壁
危坐	端坐
威逼	要挟
威逼	威胁
威逼	威吓
威风	威严
威力	能力
威名	威望
威迫	胁迫
威声	威望
威望	声望
威望	威信
威望	巨头
威望	权威
威武	威严
威武	严肃
威吓	恐吓
威吓	恫吓
威吓	勒索
威胁	恫吓
威胁	威吓
威胁	吓唬
威胁	威迫
威胁	威逼
威胁	要挟
威信	雄风
威信	威望
威信	威风
威严	肃穆
威严	庄重
威严	肃静
逶迤	曲折
微薄	单薄
微薄	陋劣
微风	和风
微贱	低劣
微贱	卑微
微茫	朦胧
微妙	巧妙
微妙	奥秘
微妙	奥妙
微漠	微弱
微弱	微漠
微微	略微
微微	轻轻
微细	藐小
微小	褊狭
微小	轻微
微小	微弱
微笑	浅笑
微雨	细雨
巍峨	陡峭
巍峨	高峻
巍然	巍峨
为何	何故
为何	何以
为何	为什么
为难	对立
为难	作对
为难	决裂
为难	难堪
为宜	为好
违背	违反
违背	违抗
违法	不法
违反	违犯
违反	违背
违犯	违背
违犯	背离
违犯	违反
违禁	犯禁
违警	不法
违警	违法
违抗	违反
违抗	违背
违令	逆命
违命	抗命
违逆	抗拒
违逆	反抗
违约	失信
违约	失约
围歼	清剿
围歼	围剿
围剿	剿灭
围剿	剿除
围剿	围歼
围巾	领巾
围困	包围
围拢	聚拢
围绕	环绕
围绕	缠绕
围绕	盘绕
桅杆	帆樯
唯独	唯一
唯独	惟独
唯恐	惟恐
唯其	惟其
唯一	独一
唯有	只有
唯有	惟有
帷幕	帐蓬
惟独	唯独
惟恐	只怕
惟恐	恐怕
惟恐	唯恐
惟恐	畏惧
惟其	唯其
惟一	唯一
惟一	用心
惟一	专一
惟有	唯有
惟有	只有
维持	保持
维持	撑持
维持	帮助
维护	保护
维护	维持
维系	接连
维系	贯串
维新	革新
维修	培修
嵬峨	嵬巍
嵬峨	陡峭
嵬巍	陡峭
嵬巍	魁梧
嵬巍	巍峨
伟岸	雄伟
伟岸	宏壮
伟岸	巍然
伟岸	高大
伟大	弘远
伟大	浩繁
伟大	雄壮
伟大	宏大
伟略	雄图
伟貌	雄姿
伟人	巨人
伟姿	伟貌
伟姿	雄姿
伪币	假票
伪钞	伪钞
伪钞	伪币
伪善	虚假
伪善	虚伪
伪造	中伤
伪造	捏造
伪造	臆造
伪造	虚拟
伪装	假装
尾数	余数
尾随	仆从
尾随	跟班
尾随	随同
尾月	腊月
委的	委果
委的	委实
委顿	疲钝
委顿	劳累
委果	委实
委过	诿过
委靡	悲伤
委靡	萎靡
委靡	怠倦
委靡	颓废
委靡	委顿
委派	萎任
委派	拜托
委派	委托
委弃	扔掉
委弃	抛弃
委屈	委曲
委曲	经历
委曲	曲折
委曲	冤枉
委任	委用
委任	委派
委任	任命
委身	屈尊
委实	着实
委实	委果
委实	确实
委托	奉求
委托	依赖
委托	委派
委托	拜托
委托	付托
委宛	宛转
委婉	隐约
委婉	悠扬
委婉	隐晦
委婉	爽直
委婉	委宛
委谢	萎谢
委用	委派
委罪	诿罪
诿过	委过
诿罪	委罪
萎顿	委顿
萎靡	委靡
萎靡	颓唐
萎靡	悲怆
萎任	委派
萎缩	减弱
萎谢	委谢
猥贱	卑贱
卫护	戍卫
卫士	卫兵
卫戍	提防
卫戍	警卫
未必	偶然
未必	不常
未便	不便
未曾	不曾
未尝	未始
未尝	未曾
未尝	何尝
未定	不决
未婚	单身
未来	改日
未来	他日
未来	来日
未来	将来
未免	难免
未免	不免
未然	已然
未始	未曾
位置	场所
位置	地方
位子	身分
位子	地位
味道	滋味
畏忌	顾忌
畏忌	畏惧
畏忌	怯怯
畏惧	胆寒
畏惧	怯懦
畏惧	畏缩
畏惧	忌惮
畏怯	猬缩
畏怯	畏缩
畏怯	怯生
畏怯	胆怯
畏缩	撤除
畏羞	害羞
畏罪	惧罪
喂养	豢养
喂养	饲养
猬集	丛集
猬缩	畏缩
猬缩	退缩
蔚蓝	湛蓝
慰藉	安抚
慰藉	安慰
慰藉	慰劳
慰藉	慰问
慰劳	安慰
慰劳	问候
慰劳	慰问
慰勉	激劝
慰勉	激励
慰问	安慰
慰问	慰劳
慰问	宽慰
慰问	安抚
慰问	问候
懀呛	剽悍
温饱	饱暖
温存	温柔
温存	和缓
温存	和顺
温存	温文
温和	温顺
温和	柔弱
温和	太平
温和	松懈
温和	平静
温和	顺心
温和	仁慈
温和	亲切
温和	善良
温和	轻柔
温和	和蔼
温暖	温柔
温暖	和缓
温情	温柔
温情	温文
温情	温存
温柔	温顺
温柔	暖和
温柔	温和
温柔	和缓
温顺	和悦
温顺	幽静
温顺	和好
温顺	温馨
温顺	和缓
温顺	凶恶
温顺	温存
温顺	平宁
温婉	典雅
温婉	优雅
温文	温柔
温文	优雅
温习	复习
温馨	和暖
温馨	温暖
温煦	和暖
温煦	和煦
温煦	温存
瘟疫	疫疠
文案	案牍
文采	文华
文采	文彩
文彩	文采
文臣	文官
文旦	柚子
文定	订婚
文牍	尺牍
文牍	秘书
文牍	函牍
文牍	布告
文牍	书记
文告	布告
文告	文书
文官	文吏
文豪	文学大师
文虎	灯谜
文华	文采
文化	文明
文籍	文献
文籍	典籍
文件	文献
文静	文雅
文静	爱静
文静	娴雅
文句	词句
文吏	文官
文明	漂后
文明	文雅
文凭	证书
文人	墨客
文士	书生
文士	文人
文饰	掩没
文书	布告
文坛	文学界
文体	体裁
文献	文件
文雅	大雅
文雅	风雅
文雅	奇丽
文雅	高雅
文移	公牍
文移	公函
文娱	娱乐
文章	作品
文字	笔墨
闻达	显达
闻名	驰名
闻名	有名
闻声	听见
吻合	合乎
吻合	相符
吻合	切合
紊乱	凌乱
紊乱	错乱
稳当	稳妥
稳当	妥当
稳当	自在
稳当	靠得住
稳定	安定
稳定	安稳
稳定	褂讪
稳固	稳定
稳固	坚韧
稳固	巩固
稳健	放荡
稳健	传统
稳健	恰当
稳妥	稳重
稳妥	安妥
稳妥	妥当
稳重	安妥
稳重	正经
稳重	慎重
稳重	庄重
问鼎	染指
问好	问候
问好	致敬
问候	安抚
问候	请安
问候	安慰
问题	题目
问询	询问
我方	自己
我们	咱们
沃畴	沃田
沃畴	肥田
沃壤	膏壤
沃壤	良田
沃壤	肥土
沃田	肥田
沃土	肥土
沃腴	肥沃
沃腴	沃腴
卧室	寝室
握别	告别
握别	阔别
握管	执笔
斡旋	调解
斡旋	调停
斡旋	周旋
龌龊	恶浊
龌龊	肮脏
龌龊	污秽
乌龟	王八
乌黑	黝黑
乌黑	暗中
乌黑	黧黑
乌黑	漆黑
乌青	铁青
乌有	子虚
乌有	虚假
污点	瑕疵
污点	缺点
污流	浊流
污蔑	诬蔑
污染	传染
污辱	沾污
污辱	玷辱
污水	浑水
污浊	浑浊
呜咽	抽泣
呜咽	哭泣
诬告	诬陷
诬害	诬告
诬害	诬陷
诬害	陷害
诬蔑	臆造
诬蔑	造谣
诬蔑	诽谤
诬捏	捏造
诬捏	虚构
诬捏	臆造
诬陷	诬蔑
诬陷	诬告
屋基	宅基
屋宇	房屋
屋子	房子
无比	非常
无边	坦荡
无边	辽阔
无别	不异
无别	相同
无端	无故
无法	没法
无妨	不妨
无非	不过
无故	无端
无际	无边
无间	不断
无间	不休
无间	一直
无尽	无穷
无赖	地痞
无礼	失礼
无理	畸形
无理	荒谬
无量	无穷
无聊	无趣
无聊	枯燥
无聊	无味
无论	不管
无论	不论
无宁	毋宁
无情	薄情
无穷	无量
无缺	完全
无缺	完整
无上	无尚
无尚	无上
无视	疏忽
无视	藐视
无视	冷漠
无视	忽视
无数	多数
无私	忘我
无望	绝望
无味	枯燥
无畏	畏怯
无畏	害怕
无误	精确
无限	无尽
无限	无穷
无效	失效
无邪	天真
无心	无意
无须	不必
无餍	利落
无餍	贪婪
无益	有害
无意	偶尔
无意	无心
无垠	无际
无庸	毋庸
无知	迂曲
无知	愚笨
无知	屈曲
毋宁	无宁
毋庸	无须
毋庸	无庸
芜秽	稀疏
芜秽	荒芜
芜秽	荒废
芜俚	鄙俗
芜俚	低下
芜乱	混乱
芜乱	芜杂
芜乱	紊乱
芜浅	肤浅
芜杂	紊乱
芜杂	纷乱
芜杂	罗唆
芜杂	烦杂
午餐	午饭
午饭	午餐
午时	中午
午睡	昼寝
午夜	深夜
午夜	子夜
忤耳	逆耳
忤逆	违逆
妩媚	娇媚
武备	军备
武断	无视
武断	果断
武断	果决
武断	轻率
武夫	武士
武功	武艺
武器	兵戈
武士	军人
武术	技击
武艺	身手
武艺	技巧
侮慢	藐视
侮慢	轻渎
侮慢	亵渎
侮慢	散逸
侮弄	玩弄
侮弄	辱弄
侮弄	捉弄
侮辱	逼迫
侮辱	羞辱
侮辱	欺压
侮辱	耻辱
舞弊	作弊
舞蹈	跳舞
务必	必须
务必	必需
务实	求实
物化	亡故
物化	毕命
物化	去世
物价	时值
物价	市价
物品	货物
物色	找寻
物色	寻找
物业	财产
物质	物资
物资	物质
误差	缺点
误差	偏差
误点	晚点
误会	误解
误解	诬蔑
误期	毁约
误期	失约
误事	失事
误用	滥用
晤面	碰头
晤面	会面
雾鬓	云鬓
夕晖	夕阳
夕阳	夕照
夕阳	斜阳
夕阳	落日
夕照	斜阳
夕照	落日
西宾	教师
西电	西安电子科技大学
西法	西式
西服	洋装
西人	洋人
西式	西法
西席	教师
西席	西宾
西洋	欧美
西崽	佣人
西装	西服
吸取	摄取
吸取	吸收
吸取	接收
吸收	接收
吸收	招揽
吸烟	抽烟
希罕	珍惜
希罕	新鲜
希罕	稀少
希冀	企图
希冀	希望
希冀	希图
希冀	盼望
希奇	新鲜
希奇	希罕
希奇	别致
希求	企求
希少	稀少
希世	稀世
希图	计划
希图	贪婪
希图	图谋
希图	妄图
希望	蓄意
希望	不满
希望	贪图
希望	祈望
希望	守候
希望	愿望
希望	志愿
希望	计算
希有	稀有
昔人	古人
昔日	以前
昔日	从前
昔日	往日
昔时	昔日
昔时	往日
昔时	已往
唏嘘	欷歔
牺牲	埋葬
牺牲	亏本
牺牲	捐躯
牺牲	丧失
牺牲	赔本
牺牲	阵亡
牺牲	损失
牺牲	屏弃
牺牲	失落
息兵	寝兵
息交	断交
息交	绝交
息交	拒却
息金	利钱
息款	息钱
息灭	杀绝
息灭	淹没
息气	息偃
息钱	息款
息肉	瘜肉
息心	死心
息偃	息气
息争	妥协
奚落	讥诮
奚落	讽刺
奚落	挖苦
奚落	嘲谑
奚弄	戏弄
奚弄	嘲笑
奚弄	揶揄
欷歔	唏嘘
悉力	致力
悉数	总共
悉数	所有
悉数	扫数
悉心	细心
稀薄	淡薄
稀薄	寥落
稀薄	萧疏
稀罕	稀少
稀罕	瑰异
稀罕	出奇
稀罕	罕见
稀奇	稀罕
稀奇	希奇
稀奇	瑰异
稀奇	新奇
稀奇	稀少
稀少	少有
稀少	荒凉
稀少	希少
稀少	独特
稀世	希世
稀疏	奇怪
稀疏	稀少
稀疏	单独
稀疏	荒芜
稀疏	稠密
稀疏	疏落
稀有	疏落
稀有	稀奇
稀有	少有
稀有	罕见
稀有	稀少
稀有	难得
翕动	噏动
犀利	锋利
犀利	敏锐
犀利	锐利
犀利	厉害
熄火	消弭
熄灭	息灭
熄灭	扑灭
噏动	翕动
膝行	蒲伏
膝行	匍匐
瘜肉	息肉
嬉戏	玩耍
嬉笑	嘲笑
习惯	民风
习惯	民俗
习惯	风气
习见	常见
习气	风俗
习气	习惯
习气	习性
习染	熏染
习染	濡染
习染	传染
习尚	风尚
习俗	风俗
习俗	风气
习性	风俗
习性	习惯
席卷	搜罗
席卷	包括
袭击	进攻
袭击	冲击
袭击	障碍
袭击	攻击
袭击	报复
袭取	剿袭
媳妇	子妇
洗擦	刷洗
洗尘	接风
洗涤	清洗
洗劫	掠夺
洗劫	抢劫
洗礼	浸礼
洗练	洗炼
洗炼	洗练
洗沐	洗浴
洗刷	洗涤
洗刷	清洗
洗雪	湔雪
洗浴	陶醉
洗浴	洗澡
洗澡	冲凉
洗澡	沐浴
洗濯	洗涤
洗濯	洗刷
洗濯	清洗
徙迁	搬场
徙迁	迁居
喜爱	爱好
喜爱	喜欢
喜爱	友情
喜爱	尊敬
喜报	喜讯
喜好	可爱
喜好	爱好
喜好	癖好
喜好	怜爱
喜欢	宠爱
喜欢	爱好
喜欢	欢喜
喜剧	笑剧
喜事	喜讯
喜信	喜讯
喜悦	欣喜
喜悦	雀跃
喜悦	欢娱
喜悦	欢悦
喜悦	怡悦
喜悦	安乐
喜跃	忻悦
喜跃	雀跃
喜兆	佳兆
戏班	梨园
戏法	把戏
戏弄	玩弄
戏弄	嘲谑
戏弄	揶揄
戏谑	讥讽
戏谑	调笑
戏院	剧场
戏子	艺员
戏子	伶人
戏子	艺人
系缚	捆扎
系缚	绑缚
系结	捆绑
系累	系缚
系累	疑团
系累	捆绑
系念	担心
系念	悬念
系念	驰念
系统	体例
系统	体系
系族	宗族
细读	精读
细密	密集
细密	纤巧
细密	缜密
细密	周密
细密	邃密
细密	精致
细目	确定
细目	详目
细腻	周密
细腻	邃密
细腻	细密
细腻	致密
细巧	细致
细巧	致密
细人	僬侥
细碎	零碎
细听	聆听
细微	狭窄
细微	纤细
细微	轻细
细微	弱小
细小	微细
细小	渺小
细小	轻细
细心	存心
细心	详细
细心	仔细
细心	郑重
细心	注意
细姨	如夫人
细姨	小老婆
细雨	小雨
细则	细目
细长	修长
细长	悠长
细致	精致
细致	具体
细致	和善
虾蟆	蛤蟆
瞎扯	瞎说
瞎扯	胡说
瞎搅	乱来
瞎闹	混闹
瞎闹	胡闹
瞎说	胡说
瞎想	幻想
瞎子	盲人
狭隘	狭窄
狭小	狭窄
狭小	褊狭
狭小	窄小
狭小	微细
狭窄	局促
狭窄	渺小
狭窄	眇小
狭窄	狭隘
遐迩	远近
遐龄	高寿
遐想	着想
遐想	设想
遐想	梦幻
遐想	联想
瑕疵	缺点
瑕疵	欠缺
瑕疵	瑕玷
瑕玷	缺点
瑕玷	瑕疵
瑕瑜	是非
辖下	属下
辖下	手下
辖下	部下
下班	放工
下层	基层
下场	竣事
下等	劣等
下跌	下落
下跌	着落
下跌	下降
下级	属下
下级	部下
下贱	卑劣
下贱	低贱
下降	降落
下降	下落
下列	以下
下劣	卑污
下劣	卑劣
下令	敕令
下令	夂箢
下流	卑劣
下流	轻贱
下落	下降
下落	着落
下面	底下
下品	低品
下棋	对弈
下世	来世
下手	开首
下手	发端
下手	着手
下属	治下
下属	属下
下属	部下
下午	下昼
下学	放学
下野	离职
下游	下流
下游	卑劣
下昼	下午
吓唬	恐吓
吓唬	恫吓
吓唬	挟制
夏布	麻布
夏朝	夏代
夏代	夏朝
夏季	夏日
夏历	阴历
夏令	夏天
夏令	夏季
夏日	夏季
夏天	夏季
罅漏	缺漏
罅隙	缝隙
罅隙	马脚
罅隙	缺陷
仙丹	灵药
仙境	瑶池
仙女	少女
仙人	圣人
仙人	神仙
仙逝	牺牲
仙逝	亡故
仙逝	丧生
仙颜	美貌
仙颜	玉颜
仙游	升天
仙游	牺牲
仙游	死灭
仙游	陨命
仙姿	美貌
先辈	前辈
先辈	前代
先导	先河
先导	肇基
先导	开始
先锋	前卫
先河	前导
先河	开端
先河	劈头
先河	开始
先后	前后
先见	预知
先进	进步
先驱	前驱
先人	祖宗
先人	祖先
先容	介绍
先生	教师
先天	天才
先天	资质
先天	天性
先兆	预兆
先兆	征候
先知	预言家
纤巧	精巧
纤弱	赢弱
纤弱	纤细
纤弱	柔弱
纤悉	纤细
掀开	开启
掀开	打开
鲜丽	灿烂
鲜丽	粲焕
鲜亮	鲜明
鲜美	新鲜
鲜美	鲜嫩
鲜明	分明
鲜嫩	鲜美
鲜嫩	新鲜
鲜味	厚味
鲜味	美味
鲜艳	美丽
鲜艳	娟秀
鲜艳	俊美
鲜艳	灿烂
鲜艳	艳丽
闲步	漫步
闲步	信步
闲荡	闲逛
闲逛	晃荡
闲话	谈天
闲话	闲扯
闲静	余暇
闲静	清闲
闲居	常日
闲居	平常
闲聊	闲扯
闲聊	闲谈
闲聊	闲话
闲聊	谈天
闲散	赋闲
闲适	空闲
闲谈	闲扯
闲谈	闲聊
闲隙	缝隙
闲隙	闲逸
闲隙	空隙
闲暇	闲逸
闲暇	缝隙
闲暇	清闲
闲雅	娴雅
闲雅	文雅
闲逸	优游
闲逸	闲适
闲逸	散逸
闲逸	清闲
闲坐	枯坐
贤达	贤能
贤惠	贤慧
贤慧	贤惠
贤良	贤能
贤良	贤达
贤明	英明
贤能	贤达
贤人	伟人
贤人	至人
贤哲	先哲
咸集	聚集
娴静	沉静
娴静	端淑
娴熟	流利
娴熟	纯熟
娴雅	文雅
衔恨	怀恨
衔恨	抱怨
衔接	持续
衔接	连续
衔接	贯通
衔接	贯串
衔命	受命
衔尾	衔接
衔冤	含冤
嫌恶	厌恶
嫌弃	厌弃
嫌弃	厌倦
嫌弃	嫌恶
嫌疑	猜疑
嫌疑	疑惑
显达	显要
显达	闻达
显贵	崇高
显赫	显耀
显露	表露
显露	显示
显露	败露
显露	显现
显明	明显
显目	显眼
显然	昭彰
显然	显着
显然	明显
显然	知道
显示	卖弄
显示	走漏
显示	映现
显示	自大
显示	再现
显示	表露
显示	意味
显示	闪现
显现	表露
显现	显露
显现	揭示
显现	了解
显眼	耀眼
显眼	醒目
显要	显达
显耀	显赫
显着	明显
显着	昭彰
显著	光鲜
显著	明显
险恶	用武
险恶	粗暴
险恶	欠安
险恶	罪恶
险恶	险阻
险峻	险阻
险峻	巍峨
险峻	陡峭
险峻	凹凸
险情	危机
险些	几乎
险要	陡峭
险诈	恶毒
险诈	圆滑
险诈	阴恶
险阻	坎坷
险阻	陡立
险阻	高峻
县令	县长
县长	县令
现代	当代
现代	入时
现代	今生
现代	新颖
现今	当今
现金	现款
现款	现金
现时	眼前
现时	当前
现时	刻下
现实	实际
现世	今世
现象	局面
现象	局势
现象	形势
现象	形象
现在	此刻
现在	目前
现状	近况
限定	限制
限定	控制
限定	法则
限度	限制
限度	控制
限期	今天不日
限期	刻日
限日	克日
限制	局部
限制	控制
限制	部分
限制	管束
线人	耳目
陷害	谋害
陷阱	圈套
陷坑	陷阱
陷落	失守
陷落	灭亡
陷溺	沉迷
陷入	堕入
羡慕	向往
羡慕	尊重
羡慕	仰慕
羡慕	敬慕
献技	表演
献技	献艺
献媚	谄谀
献媚	取悦
献媚	谄媚
献媚	讨好
献媚	媚谄
献身	致身
献身	委身
献岁	新年
献艺	表演
乡村	墟落
乡村	农村
乡村	村落
乡间	乡村
乡里	梓里
乡里	故乡
乡亲	故乡
乡亲	同乡
乡亲	田园
乡人	村夫
乡下	乡村
乡下	农村
乡下	乡间
乡信	家书
乡信	家信
乡音	土音
乡音	土话
乡镇	州里
相比	比拟
相差	出入
相称	十分
相称	相当
相持	对峙
相持	周旋
相持	不和
相打	打斗
相当	异常
相当	十分
相当	相配
相当	很是
相等	相配
相等	相称
相等	十分
相反	相悖
相反	差异
相仿	相像
相仿	一致
相仿	近似
相逢	见面
相逢	再见
相逢	重逢
相符	符合
相干	相关
相干	关联
相干	关系
相关	关系
相关	相干
相合	投合
相互	互相
相会	相见
相继	接踵
相见	相会
相交	缔交
相交	订交
相接	连合
相接	相连
相接	邻接
相接	贯串
相接	衔尾
相接	连绵
相接	相联
相近	邻近
相聚	联合
相聚	团聚
相连	贯串
相连	相接
相连	邻接
相联	连接
相貌	面目
相貌	面貌
相貌	容貌
相配	相称
相配	相等
相片	照片
相片	像片
相识	认识
相识	意识
相似	一致
相似	相通
相似	肖似
相似	彷佛
相似	宛如
相似	如同
相似	类似
相通	一样
相同	类似
相同	相似
相同	沟通
相投	相合
相投	投合
相像	近似
相像	形似
相像	好像
相信	自满
相信	自傲
相信	断定
相信	信托
相信	信赖
相信	笃信
相沿	沿袭
相沿	沿用
相宜	适合
相宜	妥善
相易	互换
相应	相映
相遇	重逢
相遇	再会
相遇	邂逅
相知	心腹
相知	相爱
相知	知交
相助	互助
香肠	腊肠
香闺	闺房
香气	芬芳
香气	芬香
香甜	甘甜
厢房	配房
襄理	襄助
襄理	佐理
襄理	辅助
襄助	佐理
襄助	助理
襄助	帮忙
详察	打量
详察	端详
详尽	细密
详尽	全体
详尽	详实
详尽	切确
详尽	周密
详尽	精细
详尽	具体
详尽	和婉
详明	详细
详目	细目
详情	详目
详确	详实
详实	详确
详述	胪陈
详细	完全
详细	精确
详细	精细
详细	细密
详细	严谨
祥和	和谐
祥和	和悦
祥和	平和
祥瑞	吉祥
翔实	详实
享福	享受
享受	享用
响后	清脆
响亮	洪亮
响亮	清脆
响马	盗贼
响应	相应
响应	反映
想到	料到
想法	归天
想法	办法
想法	年头
想法	主见
想法	主张
想念	挂念
想念	顾虑
想念	担心
想想	想一想
想象	设想
向导	引导
向导	训导
向来	一向
向来	从来
向来	一直
向例	常规
向例	老例
向慕	渴念
向慕	仰慕
向慕	景仰
向前	上前
向日	往日
向日	曩昔
向日	畴昔
向上	进取
向往	景仰
向往	参观
向往	憧憬
向往	倾心
项链	项圈
项目	名目
项圈	项链
巷子	小路
象征	标记
象征	意味
像貌	相貌
像貌	边幅
像貌	容颜
肖似	相像
肖似	好像
肖似	相仿
骁勇	勇猛
逍遥	超脱
逍遥	清闲
逍遥	闲静
消沉	沮丧
消沉	消极
消沉	低沉
消除	解除
消除	清除
消除	消灭
消除	取消
消费	消磨
消费	耗费
消费	损耗
消耗	嘱咐
消耗	花费
消耗	耗费
消耗	破费
消魂	销魂
消极	没趣
消极	消沉
消极	降低
消极	衰颓
消极	失望
消极	低落
消弭	消除
消弭	倾轧
消灭	消亡
消灭	灭亡
消灭	歼灭
消灭	祛除
消灭	解除
消磨	耗费
消磨	泯灭
消溶	溶化
消融	融化
消散	消失
消失	消逝
消逝	淹没
消逝	覆灭
消逝	散失
消逝	消释
消释	淹没
消释	铲除
消释	消失
消释	没落
消瘦	羸弱
消瘦	瘦削
消退	减退
消退	消弱
消亡	灭亡
消亡	消失
消亡	灭绝
消亡	扑灭
消息	动态
消息	动静
消歇	销歇
萧洒	潇洒
萧洒	洒脱
萧瑟	荒凉
萧瑟	荒漠
萧瑟	萧索
萧瑟	凋落
萧疏	荒疏
萧疏	萧索
萧疏	荒凉
萧索	荒凉
萧索	衰微
萧条	衰亡
萧条	孤寂
萧条	萧疏
萧条	荒凉
萧条	萧瑟
销耗	耗费
销毁	废弃
销毁	毁灭
销毁	袪除
销毁	烧毁
销魂	断魂
销售	出卖
销售	出售
销售	贩卖
销歇	消歇
潇洒	飘逸
潇洒	超脱
潇洒	洒脱
潇洒	萧洒
嚣张	招摇
嚣张	猖獗
嚣张	猖狂
嚣张	专横
小辈	晚辈
小丑	懦夫
小船	划子
小儿	赤子
小房	斗室
小孩	孩童
小孩	儿童
小孩	稚童
小脚	弓足
小节	末节
小姐	姑娘
小径	小道
小径	小路
小看	忽视
小看	鄙夷
小看	小视
小扣	轻敲
小吏	公差
小量	少量
小路	巷子
小名	奶名
小批	小数
小品	杂文
小品	短文
小气	吝啬
小器	小气
小器	吝啬
小憩	打盹
小巧	玲珑
小窃	小偷
小窃	扒手
小视	小看
小视	轻视
小视	藐视
小数	少量
小说	演义
小童	幼童
小偷	扒手
小我	个人
小巷	弄堂
小心	严慎
小心	当心
小心	谨慎
小心	端庄
小心	着重
小心	提防
小星	细姨
小型	袖珍
小序	弁言
小序	引言
小序	序文
小引	小序
小引	短序
小雨	细雨
晓畅	了解
晓畅	晓得
晓得	知晓
晓得	知道
晓风	晨风
晓示	晓示
晓示	告示
晓谕	晓喻
晓谕	晓示
晓谕	告示
孝服	丧服
孝敬	贡献
孝顺	孝敬
校订	校正
校订	检阅
校订	校勘
校对	校阅
校对	校正
校对	校订
校服	栈稔
校服	制服
校勘	校正
校勘	校对
校友	学友
校阅	考订
校阅	阅兵
校阅	校正
校阅	校订
校正	订正
校正	矫正
校正	指正
校正	校订
校正	考订
笑剧	喜剧
笑脸	笑容
笑脸	笑颜
笑貌	笑脸
笑貌	笑颜
笑纳	哂纳
笑容	笑脸
